Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,abs_diff,Gene,Hallmark,Reactome,same_direction,log2FoldChange_hcv,hcv_sig,log2FoldChange_fu,padj_fu,fu_sig
ENSG00000120280,354.2848330373742,0.421442700424008,0.1434344492121727,2.938225110765383,0.0033009724443066,0.045388491664373,0.421442700424008,TASL,,,False,1.3395157571240683,True,-0.3194756593535811,0.2426683672215968,False
ENSG00000196954,4913.458917067732,0.4196490448024462,0.1069576484345995,3.923506649073774,8.726935570344716e-05,0.0108616397208952,0.4196490448024462,CASP4,"['HALLMARK_APOPTOSIS', 'HALLMARK_COMPLEMENT', 'HALLMARK_INTERFERON_GAMMA_RESPONSE']",['HALLMARK_APOPTOSIS'],True,0.6573910222164948,True,0.1479910712876711,0.4818317398633563,False
ENSG00000137343,213.404850517816,-0.4182201945583681,0.1140303954095898,-3.667620313480001,0.0002448183625716,0.015648127069338,0.4182201945583681,ATAT1,,,False,-0.7001342118093955,True,0.0656241521779341,0.7864776118568141,False
ENSG00000168374,6904.88791959677,0.417892567022264,0.1287567490098585,3.245597378280088,0.0011720447202515,0.028066344131996,0.417892567022264,ARF4,['HALLMARK_COAGULATION'],,False,0.532483391461638,True,-0.2224519915262487,0.3713246880072033,False
ENSG00000203326,798.652411014606,0.415962701293865,0.1076912258132498,3.862549600978606,0.0001122097729387,0.0122294266634905,0.415962701293865,ZNF525,,,False,0.6435578274638193,True,-0.0341364003078688,0.8898887955213529,False
ENSG00000184831,554.9096220860657,0.4142314497878884,0.1267099471967779,3.269131263582609,0.001078782430935,0.0274791487620974,0.4142314497878884,APOO,,,False,0.42806200654532267,True,-0.0233450180878882,0.9261766015565046,False
ENSG00000182117,3171.8660096169147,0.4142161106431285,0.1292268356830049,3.205341278023752,0.0013490242567928,0.0301790926499885,0.4142161106431285,NOP10,,,False,0.49761089517801366,True,-0.0402560718615767,0.8847481338353768,False
ENSG00000141429,8163.215410715392,0.4130118588212982,0.0939710534935914,4.3950966118461645,1.1072349802588398e-05,0.0060094235027473,0.4130118588212982,GALNT1,['HALLMARK_ALLOGRAFT_REJECTION'],['HALLMARK_ALLOGRAFT_REJECTION'],True,0.3730288975669187,True,0.029856965595871,0.8873482338165153,False
ENSG00000085491,1004.1157923435776,0.4124582401881601,0.1190358689168447,3.464991216019874,0.0005302487982119,0.0211626527399033,0.4124582401881601,SLC25A24,,,False,1.1261766620171798,True,-0.1017269605697724,0.7311352001641205,False
ENSG00000149573,1974.7822897935832,0.411302014067827,0.1161347272218421,3.5415936637294743,0.0003977176274631,0.0187312883715463,0.411302014067827,MPZL2,"['HALLMARK_APICAL_JUNCTION', 'HALLMARK_KRAS_SIGNALING_UP']",,True,0.2957442003866812,True,0.022895931209514,0.9202746857940146,False
