Gene,Gene,Value
COMMD8,COMMD8,0.0
TRIO,TRIO,0.0
POLR1A,POLR1A,0.0
CAPZA1,CAPZA1,0.0
VPS53,VPS53,0.0
SIDT2,SIDT2,0.0
DGCR8,DGCR8,0.0
NBPF26,NBPF26,0.0
CALM2,CALM2,0.0
MYL12B,MYL12B,0.0
NAALADL1,NAALADL1,0.0
RTTN,RTTN,0.0
HERC1,HERC1,0.0
IFT57,IFT57,0.0
TOM1L2,TOM1L2,0.0
NSD1,NSD1,0.0
PRR14L,PRR14L,0.0
RIT1,RIT1,0.0
PCIF1,PCIF1,0.0
ERCC5,ERCC5,0.0
ADCY6,ADCY6,0.0
TJAP1,TJAP1,0.0
DNAH1,DNAH1,0.0
SPG7,SPG7,0.0
GCN1,GCN1,0.0
HGSNAT,HGSNAT,0.0
RPL23A,RPL23A,0.0
ZNF570,ZNF570,0.0
WDR37,WDR37,0.0
MTHFSD,MTHFSD,0.0
AGO1,AGO1,0.0
KDM2A,KDM2A,0.0
MED14,MED14,0.0
PABPC1L,PABPC1L,0.0
C7,C7,0.0
POLR3A,POLR3A,0.0
MBD6,MBD6,0.0
DNHD1,DNHD1,0.0
STAT5B,STAT5B,0.0
ZDHHC18,ZDHHC18,0.0
KAT7,KAT7,0.0
VPS26B,VPS26B,0.0
GTF3C2,GTF3C2,0.0
